destination,last_updated,details_url
Tajikistan,2025-03-26T10:28:08+00:00,https://www.gov.uk/foreign-travel-advice/tajikistan
Tanzania,2025-03-21T18:52:02+00:00,https://www.gov.uk/foreign-travel-advice/tanzania
Thailand,2025-03-28T14:42:55+00:00,https://www.gov.uk/foreign-travel-advice/thailand
Timor-Leste,2024-10-09T12:42:19+01:00,https://www.gov.uk/foreign-travel-advice/timor-leste
Togo,2024-10-21T10:59:20+01:00,https://www.gov.uk/foreign-travel-advice/togo
Tonga,2025-02-25T09:45:09+00:00,https://www.gov.uk/foreign-travel-advice/tonga
Trinidad and Tobago,2025-03-28T16:13:42+00:00,https://www.gov.uk/foreign-travel-advice/trinidad-and-tobago
Tunisia,2025-01-27T12:50:38+00:00,https://www.gov.uk/foreign-travel-advice/tunisia
Turkey,2025-03-24T15:51:36+00:00,https://www.gov.uk/foreign-travel-advice/turkey
Turkmenistan,2025-02-13T16:50:17+00:00,https://www.gov.uk/foreign-travel-advice/turkmenistan
Turks and Caicos Islands,2024-04-30T16:45:14+01:00,https://www.gov.uk/foreign-travel-advice/turks-and-caicos-islands
Tuvalu,2024-04-05T15:57:07+01:00,https://www.gov.uk/foreign-travel-advice/tuvalu
USA,2025-03-14T11:55:18+00:00,https://www.gov.uk/foreign-travel-advice/usa
Uganda,2025-02-06T16:24:12+00:00,https://www.gov.uk/foreign-travel-advice/uganda
Ukraine,2025-01-15T16:54:17+00:00,https://www.gov.uk/foreign-travel-advice/ukraine
United Arab Emirates,2024-10-26T08:21:20+01:00,https://www.gov.uk/foreign-travel-advice/united-arab-emirates
Uruguay,2024-11-08T11:47:15+00:00,https://www.gov.uk/foreign-travel-advice/uruguay
Uzbekistan,2024-08-16T10:03:30+01:00,https://www.gov.uk/foreign-travel-advice/uzbekistan
Vanuatu,2025-02-25T10:36:55+00:00,https://www.gov.uk/foreign-travel-advice/vanuatu
Venezuela,2025-01-21T16:20:07+00:00,https://www.gov.uk/foreign-travel-advice/venezuela
Vietnam,2024-11-27T14:54:29+00:00,https://www.gov.uk/foreign-travel-advice/vietnam
Wallis and Futuna,2024-04-18T14:05:43+01:00,https://www.gov.uk/foreign-travel-advice/wallis-and-futuna
Western Sahara,2024-06-10T17:00:14+01:00,https://www.gov.uk/foreign-travel-advice/western-sahara
Yemen,2024-12-30T15:04:59+00:00,https://www.gov.uk/foreign-travel-advice/yemen
Zambia,2024-11-14T13:32:51+00:00,https://www.gov.uk/foreign-travel-advice/zambia
Zimbabwe,2025-03-28T11:35:04+00:00,https://www.gov.uk/foreign-travel-advice/zimbabwe
