destination,risk_level,last_updated_advisory,advisory_details_url,risk_level_number,country_info_url,last_updated_country_details
Sint Maarten,Level 1: Exercise Normal Precautions,2024-08-19T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/sint-maarten-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/SintMaarten.html,2023-09-06T00:00:00
Slovakia,Level 1: Exercise Normal Precautions,2024-11-14T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/slovakia-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Slovakia.html,2025-01-21T00:00:00
Slovenia,Level 1: Exercise Normal Precautions,2024-07-26T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/slovenia-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Slovenia.html,2024-12-13T00:00:00
Solomon Island,Level 2: Exercise Increased Caution,2025-04-29T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/solomon-island-travel-advisory.html,2,,
Somalia,Level 4: Do Not Travel,2025-05-14T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/somalia-travel-advisory.html,4,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Somalia.html,2022-12-01T00:00:00
South Africa,Level 2: Exercise Increased Caution,2024-11-07T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/south-africa-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/SouthAfrica.html,2023-11-06T00:00:00
South Korea,Level 1: Exercise Normal Precautions,2023-07-24T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/south-korea-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/SouthKorea.html,2025-01-21T00:00:00
South Sudan,Level 4: Do Not Travel,2025-03-08T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/south-sudan-travel-advisory.html,4,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/SouthSudan.html,2025-01-21T00:00:00
Spain,Level 2: Exercise Increased Caution,2025-05-12T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/spain-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Spain.html,2025-04-04T00:00:00
Sri Lanka,Level 2: Exercise Increased Caution,2024-10-02T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/sri-lanka-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/SriLanka.html,2025-05-06T00:00:00
Sudan,Level 4: Do Not Travel,2023-04-22T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/sudan-travel-advisory.html,4,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Sudan.html,2022-01-03T00:00:00
Suriname,Level 1: Exercise Normal Precautions,2024-12-13T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/suriname-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Suriname.html,2022-09-30T00:00:00
Sweden,Level 2: Exercise Increased Caution,2024-07-24T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/sweden-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Sweden.html,2023-07-26T00:00:00
Switzerland,Level 1: Exercise Normal Precautions,2023-07-26T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/switzerland-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Switzerland.html,2024-03-27T00:00:00
Syria,Level 4: Do Not Travel,2025-03-03T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/syria-travel-advisory.html,4,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/SyrianArabRepublic.html,2025-03-04T00:00:00
Taiwan,Level 1: Exercise Normal Precautions,2024-07-31T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/taiwan-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Taiwan.html,2025-01-21T00:00:00
Tajikistan,Level 2: Exercise Increased Caution,2024-11-27T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/tajikistan-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Tajikistan.html,2024-12-23T00:00:00
